komnr,2015,2016,2017,2018,2019,2020,2021
1838,7.64,7.51,6.5,6.0,5.8,6.5,6.2
1839,7.28,6.35,6.5,7.5,6.9,7.2,3.7
1840,10.84,9.71,8.4,8.2,9.5,10.3,11.1
1841,4.59,4.1,4.9,5.0,5.1,5.2,5.0
1845,3.93,3.03,3.1,2.4,1.9,2.2,3.2
1848,3.32,4.2,5.1,4.4,4.6,6.3,5.3
1851,5.74,6.34,7.8,8.9,9.3,8.4,6.3
5412,4.59,6.359999999999999,6.6,5.2,4.6,2.8,3.0
1853,7.31,4.61,4.2,4.4,4.1,3.7,3.7
1856,2.14,2.75,2.2,1.7,1.7,1.5,1.3
1857,1.77,1.87,2.5,2.7,2.2,1.6,1.5
1859,4.96,2.95,3.1,3.3,2.7,3.4,4.2
1860,6.09,6.52,7.8,6.7,7.3,8.5,6.0
1865,5.29,5.96,7.3,7.4,7.2,6.8,6.7
1866,6.14,6.11,6.8,6.6,6.0,6.0,5.3
1867,3.92,3.69,3.9,3.0,2.7,2.7,2.7
1868,3.22,3.58,5.0,4.4,4.1,4.0,3.7
1870,1.84,2.95,4.9,4.1,3.6,4.1,3.7
1871,4.97,3.9,4.0,3.1,2.6,2.7,4.5
1874,4.63,2.82,4.4,3.9,5.2,4.6,4.6
1875,0.0,0.0,0.0,0.0,0.0,4.5,4.4
5401,6.1,6.17,6.4,5.2,5.4,5.0,5.0
5402,5.38,5.45,5.2,4.6,5.1,5.0,4.4
5403,4.12,4.75,4.9,3.4,4.1,4.7,9.2
5404,4.14,4.01,4.0,3.8,4.0,3.6,2.7
5405,8.71,9.31,7.7,7.5,8.3,6.9,6.8
5406,7.32,10.6,7.5,9.4,8.8,8.1,7.2
5411,7.35,8.05,8.1,9.6,9.5,8.6,8.0
5413,2.97,3.26,3.1,3.5,3.7,3.3,5.8
5414,3.45,3.37,3.8,3.4,2.4,2.7,2.4
5415,3.15,2.52,2.4,2.9,2.6,2.9,1.8
5416,3.13,2.84,3.9,5.1,4.6,4.0,3.8
5417,2.92,4.93,3.2,3.7,5.1,5.0,5.4
5418,3.46,3.53,3.4,3.4,4.6,2.9,2.6
5419,4.63,4.56,5.0,5.1,4.2,3.7,3.4
5420,3.62,3.5,3.5,4.6,5.5,5.3,3.2
5421,12.52,16.17,13.600000000000001,14.8,19.900000000000002,4.3,3.9
5422,5.63,6.56,6.3,6.0,6.8,7.0,7.5
5423,6.02,5.51,4.8,5.5,5.5,5.3,5.1
5424,4.43,6.03,5.3,4.8,5.0,4.8,6.5
5425,6.54,10.03,8.3,5.7,4.9,6.9,8.5
5426,3.28,3.53,3.9,5.0,3.4,4.2,4.1
5427,5.16,5.63,5.2,4.9,4.8,5.3,5.8
5428,4.21,4.0,4.9,6.1,6.4,4.3,3.8
5429,3.65,3.56,3.1,3.4,3.4,4.4,3.5
5430,19.14,30.37,21.3,12.6,10.0,10.5,11.7
5432,6.11,2.74,2.7,3.9,4.7,4.0,4.3
5433,1.73,2.2,2.5,2.9,3.6,3.6,4.2
5434,4.78,4.9,4.5,3.6,2.6,2.4,4.9
5435,3.47,3.01,4.5,3.6,4.3,3.1,4.8
5436,3.49,3.7,3.5,5.6,5.9,4.2,3.5
5437,7.43,7.75,7.8,31.3,35.2,30.6,24.7
5438,3.78,4.7,6.4,8.3,3.4,3.8,4.7
5439,8.08,5.26,5.2,4.7,6.2,3.4,3.4
5440,5.59,5.02,2.8,2.5,4.1,4.2,3.7
5441,26.01,6.95,6.9,8.2,7.1,6.3,5.3
5442,10.05,9.51,7.6,4.3,4.1,2.2,3.7
5443,2.97,2.93,3.0,3.5,4.2,1.8,4.6
5444,6.72,5.88,5.2,5.6,5.7,6.6,6.5
